,Monit_MAP_CODE1,Year,LAKE_NAME,Mean_Secchi_Depth_Result,Mean_Phosporus_Result,Mean_EMV_Total,STD_EMV_Total,Mean_Sale_Value,STD_Sale_Value,Mean_Total_Tax,STD_Total_Tax,Mean_Garage_Size,STD_Garage_Size,Mean_Fin_SQ_FT,STD_Fin_SQ_FT,Percentage_Yes_Basement,Percentage_Yes_Garage,Percentage_Yes_Tax_Exempt,Percentage_Air_Cooling,Percentage_AC_Cooling,Percentage_Central_Cooling,Percentage_Other_Cooling,Percentage_No_Cooling,Percentage_Air_Heating,Percentage_Space_Heating,Percentage_Water_Heating,Percentage_Electric_Heating,Percentage_Other_Heating,Percentage_No_Heating
159,19002900-01,2009,Lee Lake,3.476923076923077,0.023153846153846157,340452.13013168087,627900.0488780981,165625.57242447714,283079.1395108003,5418.95894655306,14189.762823591736,,,2709.446940356313,5581.669362214294,0.0,0.0,7.126258714175059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,19002900-01,2008,Lee Lake,1.5166666666666666,0.04516666666666667,349049.1854150504,587653.0579278561,160964.42048099302,273180.9954692435,5345.514352211017,14238.86735067478,,,2557.8060512024826,4952.700388927124,0.0,0.0,7.137315748642359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,19002900-01,2007,Lee Lake,1.7285714285714282,0.046928571428571424,348691.0147172734,574260.3695160598,152332.73741285826,237430.27303239412,5075.326103795507,13922.332224534726,,,2520.1394268009294,4787.904921480192,0.0,0.0,7.126258714175059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,19002900-01,2006,Lee Lake,1.85,0.0727857142857143,339300.4647560031,552964.7691510414,148708.46630518977,236464.83730576042,4631.10844306739,12941.53848320446,,,2541.3400464756005,4948.378703689874,0.0,0.0,7.126258714175059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,19002900-01,2005,Lee Lake,1.4444444444444446,0.06711111111111111,309196.9860896445,513240.00730949617,143404.3601236476,235143.83102375697,3994.199381761978,12080.935189473132,,,2414.5564142194744,4672.4871251354625,0.0,0.0,7.2642967542503865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,19002900-01,2004,Lee Lake,1.37,0.05566666666666667,270641.9129082426,484260.84745932015,117859.14618973562,114040.47458882298,3242.1267496111977,7820.301588536917,,,2248.8856920684293,4633.879635176646,0.0,0.0,6.376360808709176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,19003100-01,2014,Orchard Lake,2.4961538461538457,0.01946153846153846,324809.24155513063,205779.45811013403,206239.37603569153,210640.63990546076,3881.0522625876356,4274.824020703212,521.1744340878828,354.52035354564237,2578.351179094965,2262.8239591469523,0.0,73.74123645634162,9.114085404716379,69.8534098151689,0.0,0.12746972594008923,2.0395156150414278,0.06373486297004462,69.98087954110899,0.0,1.65710643722116,0.0,0.3824091778202677,0.06373486297004462
166,19003100-01,2013,Orchard Lake,3.1035714285714286,0.0165,300605.076142132,198159.5114401941,202372.28616751268,208551.62372653122,3705.835659898477,4123.4841920615545,518.9363395225464,355.7104164774675,2562.154187817259,2266.52595887247,0.0,73.28680203045685,8.756345177664974,69.54314720812182,0.0,0.12690355329949238,2.030456852791878,0.06345177664974619,69.67005076142132,0.0,1.6497461928934012,0.0,0.3807106598984772,0.06345177664974619
167,19003100-01,2012,Orchard Lake,3.0666666666666664,0.02125,293418.52791878174,191381.18213540717,199377.31281725888,208751.8011382634,3796.721446700508,4091.8876336970984,637.4313725490196,277.8353575110895,2558.661802030457,2265.9799941313427,0.0,73.15989847715736,8.565989847715736,69.41624365482234,0.0,0.12690355329949238,2.1573604060913705,0.06345177664974619,69.54314720812182,0.0,1.7766497461928936,0.0,0.3807106598984772,0.06345177664974619
168,19003100-01,2011,Orchard Lake,2.839285714285715,0.033357142857142856,313055.8655675333,205112.15241589764,153765.7400126823,203164.00911272323,3881.282815472416,4020.6017506999065,637.406862745098,277.8387936252496,2554.4889029803426,2264.4177454532837,0.0,73.11350665821179,6.594800253646163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
